row,Movie Name,Genre,Plot
31 ,Pioneers of the West ,western,"Pioneers of the West  :  Caught by the Piutes, pony Express Rider Dick Carter falls in love with pretty Dorothy Earle, who belongs to that seemingly endless supply of white girls kidnapped in childhood and raised by Indians. Unfortunately, Dorothy is promised to Bud Osborne, described in a title as ""a renegade white who dominates the simple minds of the savage horde."" Does Dorothy succeed in taking her own life rather than face an uncertain future with evil Bud? Or does the stalwart Dick rescue her in time?"
87 ,The Infiltrators ,action,"The Infiltrators  :  A tight team of three young ""recreational trespassers"" - law student Abby, dropout daredevil Jay and wheelchair bound tech whiz Milton - hire themselves out to people who want to get into places they're not supposed to be in."
146 ,"""Graviton: The Ghost Particle"" ",sci-fi,"""Graviton: The Ghost Particle""  :  Science is on the verge of discovering a mechanism to communicate with parallel worlds. A young group of outcast, brilliant physicists manage to crack the communication code, discovering the dangerous risks that may be at stake in doing so."
197 ,Moses: Fallen. In the City of Angels. ,action,"Moses: Fallen. In the City of Angels.  :  A tale of a fallen angel who was sentenced to a human life sentence... Moses, the angel of life is haunted by the visions of a dead child works as an assassin for Mrs. Mier whose true identity is Gabriel the Arc Angel... the assassination of Lucky Palermo was a mistake. Julius Palermo, Lucky's brother whose true identity is The dark angel... Make a vow to destroy Moses. Sending his daughter Angel Eyes a top underworld assassin to kill him... touched by the Arc Angel Gabriel, Angel eyes falls for moses instead. Moses finds out from Mrs. Mier that he is a fallen angel and his mission is to bring the Dark Angel back home to heaven... Together along with Jesus, a homeless Vietnam Vet, the trio hit the desert highway. Jesus leads moses and Angel eyes to his old time Vietnam Buddy John J whose life he saved in Nam. Together they will fight what ensues a show down between the forces of good and evil. Who will prevail?"
314 ,The Slave Trade ,history,"The Slave Trade  :  Beginning with the American Revolution, this program explores the U.S. law of 1807 that abolished the transatlantic slave trade. Meet the people who were involved in or influenced by this pivotal legislation: the slaves, plantation owners, slave ship captains, common seamen, government officials, Navy officers, and antislavery activists."
448 ,The 303rd ,history,"The 303rd  :  Ret. Col. Louis ""Mel"" Schulstad of the 303rd Bomb Group was among the first pilots to lead daytime bombing missions over Western Europe in 1942. He recalls the early days of World War II and the impossible odds that these brave men faced to ensure the safety and freedom of generations to come."
489 ,The Masked Dancer ,romance,"The Masked Dancer  :  Robert Powell, a New York City husband is fond of going out on the town and making friends with various women here and there, with nightclub dancers high on his list. His wife, Betty, figures that two can play that game, and she dons a mask and becomes a very popular dancer. Robert falls in love with the Masked Dancer, not knowing she is his wife. Betty has a smoothie Prince as a second suitor."
506 ,The Heart of a Knight ,fantasy,"The Heart of a Knight  :  A young knight embarks on a quest to understand the relationship between Knights and their Ladies, and how to become a great Knight of the Round Table. Based on the novel ""The Acts of King Arthur and His Noble Knights,"" John Steinbeck's witty and passionate retelling of Sir Thomas Malory's enduring 15th Century literary classic, ""Le Morte d'Arthur."""
521 ,The Outlaw Deputy ,western,"The Outlaw Deputy  :  Ex-outlaw Tim Mallory is looking for the killer of his friend Chuck. Having thwarted a robbery attempt by one of his old gang members he is made a Deputy. He finds Houger who he believes is the killer and starts cleaning up his town. When an old gang member arrives and exposes him, he is arrested. But before being taken to jail, he sees Houger is wearing Chuck's watch. Tim Malloy (Tim McCoy) turned outlaw to right a great wrong. After that purpose has been attained, another task awaits him---the avenging of the murder of his young friend Chuck Adams (George Offerman, Jr. billed as he always was.) The trail leads Tim to Goldland which is ruled by gamblers and bandits and has a useless sheriff. Mine owner Rutledge (Joseph Girard) has Tim appointed a deputy to enforce the law. Tim defies Howger (Hooper Atchley), boss of Goldland, at the saloon headquarters of the gang, and his gun barks death to the henchmen sent to get him. Joyce Rutledge (Nora Lane) is fascinated, but fears Tim, whom she thinks is too ruthless in his methods. Her opinion changes when she sees him, outnumbered, disperse Howger's henchmen, when they disrupt a church service. Cash (Bud Osborne), an old enemy, who is aware of Tim's outlaw past, reveals it to Howager. Tim admits the truth to Howager's accusations and is jailed. Joyce goes to the jail at night and frees him. In the final reckoning, Tim shoots down Howger, whom he identifies as the killer of Chuck as he is carrying Chuck's watch which was taken off his body. Mission accomplished, Tim is about to ride away...maybe."
571 ,Star Wars: The Force Unleashed ,sci-fi,"Star Wars: The Force Unleashed  :  Darth Vader has a secret apprentice to help him kill the last of the remaining jedi, little does he realise, this apprentice will unwittingly form the rebel alliance... A non profit, no budget fan film based on the popular video game by George Lucas and LucasArts who own all rights."
680 ,Moto 7: The Movie ,sport,"Moto 7: The Movie  :  MOTO7: A film that rewrites the moto playbook, with the biggest jumps, the gnarliest tracks, and some of the most remote locations a motorcycle has ever touched. Experience Blake Baggett's newly-developed El Chupacabra Ranch in Florida, one of the most gargantuan home tracks ever made, where Baggett and Ken Roczen enjoy a daily routine of riding light speed fast laps with an almost lackadaisical ease. Three miles away, Aldon Baker trains factory superstars Ryan Dungey, Marvin Musqin and Jason Anderson on a program fit for Seal Team Six. Then there's the Smokey Mountains in Idaho, where the Sipes brothers Ryan and Justin go to feel the sweet serenity of a man, his motorcycle, and countless miles of natural single-track. All of these riders are taking moto to territories it has never seen, be that on the stopwatch or the trail map. There's Colton Haaker, the Endurocross phenom whose bike-control and technical abilities are that of superhuman levels. Then of course, Justin Barcia, the exemplar of style on a motocross bike, the guy who defies logic and rides with an amount of panache and flamboyance that is shunned in professional motocross, yet somehow has climbed to the top of the sport."
715 ,The Galloping Ace ,western,"The Galloping Ace  :  When Jim Jordon, a war hero, cannot get back his old ranch job, he takes work at a ranch owned by Anne Morse. He soon learns that Kincaid, the owner of a nearby marble quarry, is plotting to seize some of Miss Morse's land. Jordan puts a quash to Kincaid's plans and finds romance with Anne."
758 ,French Baroque: Now and Then ,history,"French Baroque: Now and Then  :  This DVD/VHS program, THE ART OF BAROQUE DANCE : Folies d'Espagne from Page to Stage (DVD in English and French; VHS in English only) explores the elements that enable us to better understand the historical preservation of dance, from the academic page to its transformation into a vibrant performance. This fascinating video, produced in France, reveals the 17th century Baroque dance of the sophisticated era of King Louis XIV. The king, himself an excellent dancer, ordered the invention of a notation system for dance to teach, codify, and spread this art. The French still continue to celebrate 17th century dance today. It is considered to be the most perfect form of art, uniting all of the qualities needed to educate one's body and soul. View the Video Created by dancers in Paris, the new video, THE ART OF BAROQUE DANCE, is generously layered with a wealth of historic architectural and artistic images. The video's director/choreographer, Natalie Van Parys, has an outstanding French Baroque heritage. Through this video, her lifetime of knowledge and experience enable the next generation to appreciate a venerable art from the past. In this important DVD/VHS, one famous dance, ""Folies d'Espagne"", is beautifully explored. This popular dance, with its music, has been selected because it features short highly expressive pieces. Each variation has its own temperament, which is inspiration for that choreography. By viewing the re-creation of this one Baroque dance, ""Folies d'Espagne"", the viewer can trace 5 important characteristics portrayed in this dance performance: .Dance notation .Treatment of space .Arm embellishments .Relation to music .Interpretation of the dancer Thus, this video explores the creative process of researching, reconstructing, re-creating, and performing a Baroque dance. With THE ART OF BAROQUE DANCE : Folies d'Espagne from Page to Stage the public will be able to uncover the secrets of the interpretation of a dance, discover its beauty, better understand the elegance and virtuosity of the French Baroque style, and enter into the world of the very close relationship that existed between dance and music in the 17th century."
855 ,The Ballad of Lefty Brown ,western,"The Ballad of Lefty Brown  :  When cowboy Lefty Brown witnesses the murder of his longtime partner, the newly-elected Senator Edward Johnson. He strikes out to find the killers and avenge his friend's gruesome death. Tracking the outlaws across the vast and desolate Montana plains, Lefty recruits a young gunslinger, Jeremiah, and an old friend, a hard-drinking U.S. Marshall, to help deliver the men to justice. After a gunfight with the outlaws leaves Jeremiah wounded, Lefty returns home with the names of Johnson's killers only to find that he is being accused of his friend's murder. With the tables turned, and with his friend in the governor's mansion refusing to help, Lefty must evade the law and prove his innocence by exposing the powerful men ultimately responsible for Johnson's death."
861 ,The Willing Suspension of Disbelief ,action,"The Willing Suspension of Disbelief  :  ""The willing Suspension of Disbelief"" is a taut psychological thriller in which Quentin (Ryan Hauser), a down and out filmmaker, enters the very noir crime world depicted in his films to steal the money he desperately needs to finish his rag tag production. Matters become increasingly complicated when he becomes involved with the mysterious Veri Similitude (Erinn Gavaghan) a night-club singer and aspiring actress who happens to be involved with the same mob boss he is trying to rob. The line between reality and cinema deteriorates as Quentin delves deeper and deeper into the criminal underworld and becomes more and more obsessed with finishing his film until his life and art threaten to converge towards a catastrophe collision."
909 ,The Firing Line ,action,"The Firing Line  :  An American military advisor becomes disillusioned by the brutality and corruption of the Central American government which hired him. When his shift in sympathies becomes known, he's arrested and tortured but soon escapes, along with a beautiful American woman, in order to join the rebels."
924 ,Lash of the Whip ,western,"Lash of the Whip  :  ""Hurricane"" Smith ( Francis Ford ), head of a steamship company, plots to keep the railroad from entering the city. The map of the proposed route becomes the instrument by which Blake ( Frank Baker ) and Florence ( Florence Gilbert ) are harassed by Smith's gang and repeatedly are rescued by ""Pinto Pete,"" ( Ashton Dearholt ) who is adept with a whip."
935 ,Secret Scout in the Temple of Demise ,action,"Secret Scout in the Temple of Demise  :  Separated from your troops by unexplainable events, you are trying to find your way back to civilization. Just when you think you are going to be saved, the rescuing team turned out to be part of Dr. Demise's organization. In order to sever his hold on the jungle region, you must search the ruins of an ancient temple in the hope of finding and destroying Dr. Demise."
953 ,Redemption 101 ,sci-fi,"Redemption 101  :  Redemption 101 is a feature film that revolves around the quirky crew of the starship Redemption as they transport an ambitious bishop and his entourage to the remote Orion star system. It seems like just another mission for the battle-weary crew until they answer a distress signal from a seemingly deserted planet and end up with some alien passengers who are not quite what they seem. Before long they find themselves drawn into a world of mystical relics, ancient feuds, and apocalyptic events!"
